Train Loss,Validation Loss,Train Accuracy,Validation Accuracy,Train Weighted F1,Validation Weighted F1,Train Macro F1,Validation Macro F1
7.106391716003418,6.943328541975755,31.0375,25.686746987951807,0.2679024294510686,0.3234749830533495,0.2690660472696389,0.197845056754813
8.13281743144989,10.073016452789307,46.85,21.204819277108435,0.4471838015120536,0.2425497334614883,0.4464037183084853,0.1907447306413021
5.895742354393005,4.587377335475042,51.0875,52.963855421686745,0.4973380207969123,0.5793965071287255,0.4965066589302223,0.3084056698374438
5.032366323471069,8.589825146014874,43.575,34.74698795180723,0.3739775742959513,0.4204751988122652,0.3730105320841892,0.1977864059981033
4.082768843173981,3.656887149810791,50.625,59.373493975903614,0.5057490295233922,0.6228894665822586,0.504696458729554,0.3246988192237168
3.892958366632461,4.848770203957191,58.75,55.27710843373494,0.5656960745926055,0.59736467936974,0.563019034283784,0.3249359861708905
3.6516336183547975,5.544456093127911,64.775,44.72289156626506,0.6351408613412607,0.5165269171581744,0.6332830927619287,0.2780459087814985
3.257787421941757,6.7940505688007065,61.4,41.97590361445784,0.5763548133394627,0.4921737749071865,0.5788591220312223,0.2604031382388743
2.991535243988037,6.392316931944627,68.7875,36.57831325301205,0.6843723828028524,0.4274682604826186,0.6840029139982339,0.271950156749611
2.8392657885551453,3.5408061027526854,50.6375,60.86746987951807,0.5002056652700264,0.6327826415988606,0.5004074338722394,0.3154495269596521
2.896904953956604,5.407552183591402,71.4875,46.69879518072289,0.7108021040192575,0.5300433207688919,0.7117316033848322,0.3132017213488797
2.1005607022047044,6.940347165327806,73.825,34.16867469879518,0.7233552398307068,0.4106981955429399,0.7247164844850331,0.2569741672388735
1.892853375792504,4.698629030814538,69.525,47.373493975903614,0.7013191497094365,0.532328963603313,0.7023016888402055,0.3105820246103503
1.9487534034252167,4.263472590079674,74.725,52.04819277108434,0.7323874029707115,0.5767348767091285,0.733469516676099,0.3179922146630727
1.790047364592552,4.720966608707721,73.3125,48.62650602409639,0.7283576004472799,0.5465316133179686,0.7282700000951647,0.3218162294434677
1.7332423784732818,4.306659614122831,70.9875,50.16867469879518,0.7127288409607788,0.5572980413819734,0.7138177596648403,0.3246627029546985
1.873968953371048,4.308494333120493,72.3125,51.855421686746986,0.7190249832315634,0.5727085288469179,0.7189553032854171,0.3325330938426259
1.7767003329992297,4.448888721832862,70.45,53.10843373493976,0.6783459322359375,0.581830144887773,0.6777723677114581,0.3073871771265999
1.7009807100296022,4.663834190368652,76.825,47.80722891566265,0.7606160939611368,0.5413516897363594,0.7613981599953561,0.31017660248699974
