Accuracy,Loss,F1 Score
72.38888888888889,1.0035211741924286,0.20995810505961973
72.0111111111111,0.849565949704912,0.2093211032879013
72.23333333333333,0.8492618401845297,0.20969614863557193
71.74444444444444,0.8242873681916131,0.20886976774277027
72.2,0.7854008807076348,0.20963995354239257
72.08888888888889,0.7884677681658003,0.23111560263012987
73.0,0.765857090552648,0.29302755634694266
73.04444444444445,0.7721710668669807,0.30709070382617054
73.15555555555555,0.7462524606121911,0.28431475989119737
73.65555555555555,0.7322254379590353,0.31317637906971424
73.4,0.7266659835974375,0.3015464602928316
73.93333333333334,0.716500719388326,0.3242069956093819
73.92222222222222,0.733566572268804,0.2828462904723401
73.26666666666667,0.7229429218504164,0.3196401560174289
73.5111111111111,0.7066343426704407,0.32559884482925505
73.23333333333333,0.7094881468349032,0.31912844416060576
73.76666666666667,0.7046659092108408,0.3324140752864157
74.14444444444445,0.6900029944048988,0.34101143837997827
73.87777777777778,0.6915053692128923,0.2852034905912793
74.71111111111111,0.6544136073854234,0.4064562429098707
74.21111111111111,0.6847506529755063,0.3207041846691743
73.96666666666667,0.6682284838623471,0.34186704509669885
75.32222222222222,0.6570107738176981,0.4107934479937181
74.8,0.6332390507062277,0.3642959505864408
75.22222222222223,0.6612788703706529,0.4496482000537435
75.32222222222222,0.6432482699553171,0.41990000888317164
75.53333333333333,0.6543796261151632,0.40815216063953313
76.1,0.6608975430329641,0.44485217928545495
75.32222222222222,0.6421049469047122,0.46130682206936585
74.81111111111112,0.6366192897160848,0.44015894704302966
77.08888888888889,0.6318084299564362,0.45185505385501745
76.08888888888889,0.6217493381765153,0.42235109505732715
75.26666666666667,0.6407247516844008,0.4695074673165081
76.2,0.6366237368848588,0.4666013304746429
76.72222222222223,0.6266465385754904,0.45443164904164807
76.16666666666667,0.6110191742579142,0.4427612906592515
76.46666666666667,0.6199084652794732,0.4463502900794098
77.9,0.6209710008568234,0.461322569350088
76.97777777777777,0.6304680903752645,0.45354836677466936
77.58888888888889,0.6212590932846069,0.4784337370326949
